,Latitude,Longitude,colors,Aeromexico Airlines ,Air Canada ,Alaska Airlines ,Allegiant Air ,American Airlines ,British Airways ,Delta Airlines ,Frontier Airlines ,JetBlue Airways ,Lufthansa ,Norwegian ,Spirit Airlines ,Sky West,Southwest Airlines ,Sun Country ,United Airlines ,Via Air,West Jet,airlineOptions
Austin-ABIA,30.194444,-97.67,#ffa64d',,,,,,,,,,,,,,,,,,,
ABQ,35.039333,-106.610778,#3973ac',,,,,,,,,,,,,,,,,,,"Albuquerque (ABQ): Allegiant Air, Southwest Airlines "
AMA,35.219444,-101.705833,#3973ac',,,,,,,,,,,,,,,,,,,Amarillo (AMA): Via Air 
ATL,33.636667,-84.428056,#3973ac',,,,,,,,,,,,,,,,,,,"Atlanta (ATL): Delta Airlines, Frontier Airlines, Spirit Airlines, Southwest Airlines"
BWI,39.175278,-76.668333,#3973ac',,,,,,,,,,,,,,,,,,,"Baltimore (BWI): Spirit Airlines, Southwest Airlines "
BTR,30.532778,-91.15,#3973ac',,,,,,,,,,,,,,,,,,,Baton Rouge (BTR): Via Air 
BHM,33.563889,-86.752222,#3973ac,,,,,,,,,,,,,,,,,,,Birmingham (BHM): Via Air 
BOS,42.363056,-71.006389,#3973ac,,,,,,,,,,,,,,,,,,,"Boston (BOS): Delta Airlines, JetBLue Airways, Southwest Airliens "
BKG,36.531944,-93.200556,#3973ac,,,,,,,,,,,,,,,,,,,Branson (BKG): Via Air 
YYC,51.1225,-114.013333,#3973ac,,,,,,,,,,,,,,,,,,,Calgary (YYC): West Jet 
CUN,21.036667,-86.876944,#3973ac,,,,,,,,,,,,,,,,,,,"Cancun (CUN): Southwest Airlines, Sun Country, United Airlines"
CLT,35.213889,-80.943056,#3973ac,,,,,,,,,,,,,,,,,,,Charlotte (CLT): American Airlines 
MDW,41.786111,-87.7525,#3973ac,,,,,,,,,,,,,,,,,,,Chicago-Midway (MDW): Southwest Airlines 
ORD,41.978611,-87.904722,#3973ac,,,,,,,,,,,,,,,,,,,"Chicago-O'Hare (ORD): American Airlines, Frontier Airlines, Spirit Airlines, United Airlines "
CVG,39.048889,-84.667778,#3973ac,,,,,,,,,,,,,,,,,,,"Cincinnati (CVG): Delta Airlines, Frontier Airlines "
CLE,41.411667,-81.849722,#3973ac,,,,,,,,,,,,,,,,,,,Cleveland (CLE): Frontier Airlines 
DAL,32.847222,-96.851667,#3973ac,,,,,,,,,,,,,,,,,,,Dallas-Love (DAL): Southwest Airlines 
DFW,32.896944,-97.038056,#3973ac,,,,,,,,,,,,,,,,,,,Dallas-Forth Worth (DFW): American Airlines 
DEN,39.861667,-104.673056,#3973ac,,,,,,,,,,,,,,,,,,,"Denver (DEN): Frontier Airlines, Spirit Airlines, Southwest Airlines, United Airlines "
DTW,42.2125,-83.353333,#3973ac,,,,,,,,,,,,,,,,,,,"Detroit (DTW): Delta Airlines, Frontier Airlines "
ELP,31.807222,-106.3775,#3973ac,,,,,,,,,,,,,,,,,,,El Paso (ELP): Southwest Airlines 
FLL,26.0725,-80.152778,#3973ac,,,,,,,,,,,,,,,,,,,"Fort Lauderdale (FLL): JetBLue Airways, Spirit Airlines, Southwest Airlines "
VPS,30.483333, -86.525278,#3973ac,,,,,,,,,,,,,,,,,,,Fort Walton Beach (VPG): Allegiant Air 
FRA,50.033333,8.570556,#3973ac,,,,,,,,,,,,,,,,,,,Frankfurt (FRA): Lufthansa 
HRL,26.227222,-97.655,#3973ac,,,,,,,,,,,,,,,,,,,Harlingen (HRL): Southwest Airlines 
HOU,29.645556,-95.278889,#3973ac,,,,,,,,,,,,,,,,,,,Houston-Hobby (HOU): Southwest Airlines 
IAH,29.984444,-95.341389,#3973ac,,,,,,,,,,,,,,,,,,,Houston-Bush (IAH): United Airlines 
IND,39.717222,-86.294444,#3973ac,,,,,,,,,,,,,,,,,,,"Indianapolis (IND): Allegiant Air, Southwest Airlines "
MCI,39.2975,-94.713889,#3973ac,,,,,,,,,,,,,,,,,,,Kansas City (MCI): Southwest Airlines 
LAS,36.08,-115.152222,#3973ac,,,,,,,,,,,,,,,,,,,"Las Vegas (LAS): Allegiant Air, Frontier Airlines, Spirit Airlines, Southwest Airlines "
LIT,34.730778,-92.219472,#3973ac,,,,,,,,,,,,,,,,,,,Little Rock (LIT): Via Air 
LGW,51.148056,-0.190278,#3973ac,,,,,,,,,,,,,,,,,,,London-Gatwick (LGW): Norweigian 
LHR,51.4775,-0.461389,#3973ac,,,,,,,,,,,,,,,,,,,London-Heathrow: British Airways 
